CHR,GENE,N_SNPS,SNP_FIRST,SNP_LAST,P,STAT,VAR
20,GENE_1,17,8,24,1.0,1.1965449954974196e-08,5.06563058502195e-08
20,GENE_2,12,27,38,1.0,4.949631956555113e-07,2.2089793278527834e-08
20,GENE_3,9,54,62,1.0,6.33464997616281e-09,1.4677840147683924e-08
20,GENE_4,5,98,102,1.0,3.5192499867571166e-09,8.082365811224186e-09
20,GENE_5,25,107,131,1.0,7.421082584241015e-07,4.8953080712078616e-08
20,GENE_6,2,132,133,0.99998359499897,1.4076999947028466e-09,3.2329013215591887e-09
20,GENE_7,7,137,143,1.0,4.926949981459963e-09,1.1681429060767737e-08
20,GENE_8,13,498,510,1.0,2.681054411793395e-06,2.9771474399414248e-08
20,GENE_9,9,512,520,1.0,4.2531110752363464e-08,1.6528056137459086e-08
20,GENE_10,9,522,530,1.0,6.33464997616281e-09,1.9620455617430468e-08
20,GENE_11,3,534,536,0.9999995414386864,2.11154999205427e-09,4.849355899260838e-09
20,GENE_12,25,544,568,1.0,3.408470911104285e-06,6.920491367138255e-08
20,GENE_14,8,152,159,1.0,1.1626045903932499e-06,1.490228211370234e-08
20,GENE_15,12,164,175,1.0,8.44619996821708e-09,2.0734252817114245e-08
20,GENE_16,12,178,189,1.0,8.44619996821708e-09,3.8856834658248827e-08
20,GENE_17,8,194,201,1.0,5.6307999788113865e-09,2.3598695881788516e-08
20,GENE_18,43,255,297,1.0,3.889902093266916e-06,1.0400082372667948e-07
20,GENE_19,21,308,328,1.0,1.09047891125696e-07,3.898935325577946e-08
20,GENE_20,5,330,334,1.0,3.5192499867571166e-09,1.1325810384267517e-08
20,GENE_21,9,339,347,1.0,6.33464997616281e-09,1.5117326784199375e-08
20,GENE_22,4,355,358,1.0,2.8153999894056932e-09,1.0210670771449033e-08
20,GENE_23,21,361,381,9.727178098509961e-47,0.014221905194128378,3.977744092735279e-08
20,GENE_24,3,387,389,0.9999995272292415,2.11154999205427e-09,4.954394446263257e-09
20,GENE_25,3,390,392,0.9999995404659348,2.11154999205427e-09,4.849373143708509e-09
20,GENE_26,12,394,405,0.9998060055428108,5.41479702032924e-05,2.437881916924582e-08
20,GENE_27,13,406,418,1.0,8.453094958008994e-09,2.5127255597586035e-08
20,GENE_28,4,430,433,1.0,2.8153999894056932e-09,6.481476460343992e-09
20,GENE_29,5,440,444,1.0,1.4083698395052989e-08,8.114141979259207e-09
20,GENE_30,12,446,457,0.9998554218241574,5.331349171073029e-05,2.5214126909617727e-08
20,GENE_31,5,472,476,1.0,3.5192499867571166e-09,1.3442591955510937e-08
20,GENE_32,3,477,479,0.9542032652437349,1.3268911396021399e-05,4.862584839462424e-09
20,GENE_33,16,485,500,1.0,2.2796640711008965e-07,3.3663400032742016e-08
20,GENE_34,3,503,505,0.9999995353584991,2.11154999205427e-09,4.895386597755655e-09
20,GENE_35,4,508,511,1.0,2.8153999894056932e-09,9.643222017909508e-09
20,GENE_36,2,519,520,1.0,1.4076999947028466e-09,3.233151306405832e-09
20,GENE_37,2,525,526,1.0,1.4076999947028466e-09,3.2329930243693796e-09
