CHR,GENE,N_SNPS,SNP_FIRST,SNP_LAST,P,STAT,VAR
20,GENE_1,17,8,24,1.0,1.1965449954974196e-08,5.0656178639585914e-08
20,GENE_2,12,27,38,1.0,4.949631956555113e-07,2.2089737805540777e-08
20,GENE_3,9,54,62,1.0,6.33464997616281e-09,1.467780328796205e-08
20,GENE_4,5,98,102,1.0,3.5192499867571166e-09,8.082345514385351e-09
20,GENE_5,25,107,131,1.0,7.421082584241015e-07,4.8952957778668665e-08
20,GENE_6,2,132,133,0.999983594976988,1.4076999947028466e-09,3.2328932029366688e-09
20,GENE_7,7,137,143,1.0,4.926949981459963e-09,1.1681399725782347e-08
20,GENE_8,13,498,510,1.0,2.681054411793395e-06,2.977139963580767e-08
20,GENE_9,9,512,520,1.0,4.2531110752363464e-08,1.6528014631382838e-08
20,GENE_10,9,522,530,1.0,6.33464997616281e-09,1.962040634556691e-08
20,GENE_11,3,534,536,0.999999541438464,2.11154999205427e-09,4.8493437213172224e-09
20,GENE_12,25,544,568,1.0,3.408470911104285e-06,6.920473988056288e-08
20,GENE_14,8,152,159,1.0,1.1626045903932499e-06,1.4902244690350637e-08
20,GENE_15,12,164,175,1.0,8.44619996821708e-09,2.0734200748227788e-08
20,GENE_16,12,178,189,1.0,8.44619996821708e-09,3.885673707903389e-08
20,GENE_17,8,194,201,1.0,5.6307999788113865e-09,2.3598636619570225e-08
20,GENE_18,43,255,297,1.0,3.889902093266916e-06,1.0400056255464062e-07
20,GENE_19,21,308,328,1.0,1.09047891125696e-07,3.8989255343777246e-08
20,GENE_20,5,330,334,1.0,3.5192499867571166e-09,1.1325781942329426e-08
20,GENE_21,9,339,347,1.0,6.33464997616281e-09,1.511728882081681e-08
20,GENE_22,4,355,358,1.0,2.8153999894056932e-09,1.0210645129904977e-08
20,GENE_23,21,361,381,9.725682243366129e-47,0.014221905194128378,3.977734103626562e-08
20,GENE_24,3,387,389,0.9999995272290145,2.11154999205427e-09,4.954382004541619e-09
20,GENE_25,3,390,392,0.9999995404657124,2.11154999205427e-09,4.849360965721588e-09
20,GENE_26,12,394,405,0.9998060043285933,5.41479702032924e-05,2.437875794794315e-08
20,GENE_27,13,406,418,1.0,8.453094958008994e-09,2.5127192496772587e-08
20,GENE_28,4,430,433,1.0,2.8153999894056932e-09,6.481460183738082e-09
20,GENE_29,5,440,444,1.0,1.4083698395052989e-08,8.11412160262248e-09
20,GENE_30,12,446,457,0.9998554208766215,5.331349171073029e-05,2.5214063590648734e-08
20,GENE_31,5,472,476,1.0,3.5192499867571166e-09,1.344255819780573e-08
20,GENE_32,3,477,479,0.9542031845872831,1.3268911396021399e-05,4.862572628297635e-09
20,GENE_33,16,485,500,1.0,2.2796640711008965e-07,3.36633154955383e-08
20,GENE_34,3,503,505,0.9999995353582747,2.11154999205427e-09,4.89537430421746e-09
20,GENE_35,4,508,511,1.0,2.8153999894056932e-09,9.64319780137097e-09
20,GENE_36,2,519,520,1.0,1.4076999947028466e-09,3.233143187155538e-09
20,GENE_37,2,525,526,1.0,1.4076999947028466e-09,3.2329849055165705e-09
20,GENE_38,5,534,538,1.0,3.5192499867571166e-09,8.173017297848547e-09
20,GENE_39,7,545,551,1.0,4.926949981459963e-09,1.2469086284544493e-08
20,GENE_40,2,555,556,1.0,1.4076999947028466e-09,6.460617560537271e-09
20,GENE_41,2,557,558,1.0,1.4076999947028466e-09,3.4591125667700278e-09
20,GENE_42,2,561,562,0.9959542709663634,3.2767392117214426e-07,3.232939082523791e-09
20,GENE_43,5,564,568,1.0,9.372900287135869e-08,1.0516217257724603e-08
20,GENE_44,2,581,582,0.014032204770250578,0.00034306208065241166,3.232892684818517e-09
20,GENE_45,4,595,598,1.0,2.8153999894056932e-09,6.917814507657468e-09
20,GENE_46,4,605,608,1.0,2.8153999894056932e-09,7.193421446189491e-09
20,GENE_47,3,610,612,0.5914931315314318,7.67501299694904e-05,4.850147415667859e-09
20,GENE_48,3,615,617,0.9999995297151961,2.11154999205427e-09,4.916718229540303e-09
20,GENE_49,3,616,618,1.0,2.11154999205427e-09,6.026523818323667e-09
20,GENE_50,7,624,630,1.0,3.042894246803528e-07,1.8742754246249126e-08
20,GENE_51,3,631,633,0.9863461479394516,5.712381650771418e-06,4.850420692809289e-09
20,GENE_52,4,638,641,0.031102099191071098,0.00045474683732530334,7.58971785698171e-09
20,GENE_53,3,641,643,0.9999995414608148,2.11154999205427e-09,4.856865994645518e-09
20,GENE_54,5,644,648,0.05469315073742764,0.0005269508196364494,1.5382574380483252e-08
20,GENE_55,2,650,651,1.0,1.4076999947028466e-09,3.955084741852394e-09
20,GENE_56,3,652,654,6.234851756348192e-05,0.000888401108629741,4.849415019459845e-09
20,GENE_57,7,659,665,6.829509895142318e-11,0.0027751718419516645,1.2249629075827266e-08
20,GENE_58,4,673,676,0.0647627381900564,0.0004033890253236955,1.0236395487299696e-08
20,GENE_59,5,678,682,1.0,1.3883506342361883e-07,8.443140755117185e-09
20,GENE_60,5,683,687,0.5126020258133177,0.0001683074819257982,8.821109886233662e-09
20,GENE_61,19,706,724,1.0,8.960837381337387e-06,3.629426026133309e-08
20,GENE_62,2,757,758,0.9999834140060128,1.4076999947028466e-09,3.232892812712281e-09
20,GENE_63,3,778,780,0.9998868491294132,2.2771287829794212e-07,4.850467771735384e-09
20,GENE_64,31,797,827,1.0,3.7663924771517886e-07,6.335358564420666e-08
20,GENE_65,2,828,829,1.0,1.4076999947028466e-09,3.494863587341379e-09
20,GENE_66,6,833,838,1.0,4.22309998410854e-09,1.103851079655973e-08
20,GENE_67,75,870,944,1.0,6.427561826588233e-06,1.7239474720241132e-07
20,GENE_68,14,953,966,1.0,9.853899962919926e-09,3.9072657674623767e-08
