gene,CHR,GENE,START,END,N_SNPS,start_idx_chr,end_idx_chr,chr_start_idx_gw
SAMD11,1,SAMD11,861120,879961,5,12,16,0
NOC2L,1,NOC2L,879582,894679,8,17,24,0
PLEKHN1,1,PLEKHN1,901876,910484,2,26,27,0
AGRN,1,AGRN,955502,991492,8,39,46,0
C1orf159,1,C1orf159,1017197,1051736,10,52,61,0
TTLL10,1,TTLL10,1109285,1133313,11,76,86,0
SDF4,1,SDF4,1152287,1167447,5,92,96,0
FAM132A,1,FAM132A,1177832,1182102,3,101,103,0
UBE2J2,1,UBE2J2,1189291,1209234,2,106,107,0
SCNN1D,1,SCNN1D,1217575,1227409,3,109,111,0
CENTB5,1,CENTB5,1228943,1238640,2,112,113,0
MRPL20,1,MRPL20,1337275,1342693,2,122,123,0
ATAD3A,1,ATAD3A,1447554,1470064,3,128,130,0
SSU72,1,SSU72,1477052,1510262,7,132,138,0
MIB2,1,MIB2,1550883,1565985,2,148,149,0
CDC2L1,1,CDC2L1,1571099,1655775,10,150,159,0
LOC728661,1,LOC728661,1592938,1624243,7,151,157,0
CDC2L2,1,CDC2L2,1634169,1655791,2,158,159,0
NADK,1,NADK,1682670,1709909,7,161,167,0
GNB1,1,GNB1,1716728,1822495,12,169,180,0
TMEM52,1,TMEM52,1849029,1850707,2,185,186,0
KIAA1751,1,KIAA1751,1884751,1935276,18,192,209,0
PRKCZ,1,PRKCZ,1981908,2116834,26,220,245,0
SKI,1,SKI,2160133,2241556,23,251,273,0
MORN1,1,MORN1,2252695,2322993,29,275,303,0
RER1,1,RER1,2323213,2336874,4,304,307,0
PEX10,1,PEX10,2336240,2344010,3,308,310,0
PLCH2,1,PLCH2,2407753,2436964,5,325,329,0
PANK4,1,PANK4,2439974,2458035,6,330,335,0
TNFRSF14,1,TNFRSF14,2487804,2495267,3,338,340,0
MMEL1,1,MMEL1,2522080,2564429,10,344,353,0
PRDM16,1,PRDM16,2985743,3355185,145,426,570,0
ARHGEF16,1,ARHGEF16,3371146,3397677,3,575,577,0
MEGF6,1,MEGF6,3404505,3528059,51,579,629,0
WDR8,1,WDR8,3547338,3566637,5,639,643,0
TP73,1,TP73,3569128,3650467,40,645,684,0
KIAA0495,1,KIAA0495,3652547,3663886,2,687,688,0
CCDC27,1,CCDC27,3668961,3688209,9,690,698,0
LRRC47,1,LRRC47,3696783,3713068,7,701,707,0
KIAA0562,1,KIAA0562,3731343,3773797,13,709,721,0
DFFB,1,DFFB,3773844,3801993,12,722,733,0
C1orf174,1,C1orf174,3805696,3816849,6,737,742,0
AJAP1,1,AJAP1,4715104,4843851,53,956,1008,0
NPHP4,1,NPHP4,5922869,6052531,30,1314,1343,0
KCNAB2,1,KCNAB2,6086379,6160523,21,1350,1370,0
CHD5,1,CHD5,6161852,6240183,20,1371,1390,0
RPL22,1,RPL22,6245079,6259679,5,1392,1396,0
RNF207,1,RNF207,6266188,6281359,4,1397,1400,0
ICMT,1,ICMT,6281252,6296044,3,1401,1403,0
GPR153,1,GPR153,6308855,6321035,3,1408,1410,0
ACOT7,1,ACOT7,6324331,6453826,23,1411,1433,0
ESPN,1,ESPN,6484847,6521004,5,1438,1442,0
TNFRSF25,1,TNFRSF25,6521213,6526255,2,1444,1445,0
PLEKHG5,1,PLEKHG5,6526151,6580069,14,1446,1459,0
NOL9,1,NOL9,6585207,6614581,4,1460,1463,0
TAS1R1,1,TAS1R1,6615433,6639817,6,1464,1469,0
ZBTB48,1,ZBTB48,6640062,6649340,2,1471,1472,0
KLHL21,1,KLHL21,6650783,6662929,6,1474,1479,0
THAP3,1,THAP3,6685251,6695645,4,1484,1487,0
DNAJC11,1,DNAJC11,6694230,6761873,9,1488,1496,0
CAMTA1,1,CAMTA1,6845383,7829764,202,1507,1708,0
VAMP3,1,VAMP3,7831328,7841492,2,1709,1710,0
PER3,1,PER3,7844762,7905237,14,1711,1724,0
UTS2,1,UTS2,7907674,7913572,4,1726,1729,0
TNFRSF9,1,TNFRSF9,7979906,8000887,5,1743,1747,0
PARK7,1,PARK7,8021713,8045342,3,1749,1751,0
SLC45A1,1,SLC45A1,8384389,8404227,7,1805,1811,0
RERE,1,RERE,8412463,8877699,48,1814,1861,0
ENO1,1,ENO1,8921062,8938780,2,1865,1866,0
CA6,1,CA6,9005921,9035148,14,1886,1899,0
SLC2A7,1,SLC2A7,9063358,9086404,12,1911,1922,0
SLC2A5,1,SLC2A5,9097006,9129670,9,1924,1932,0
GPR157,1,GPR157,9164475,9189229,3,1938,1940,0
H6PD,1,H6PD,9294862,9331394,9,1968,1976,0
SPSB1,1,SPSB1,9352983,9429590,32,1983,2014,0
SLC25A33,1,SLC25A33,9599527,9642831,3,2053,2055,0
TMEM201,1,TMEM201,9648979,9665007,4,2057,2060,0
PIK3CD,1,PIK3CD,9711789,9789172,11,2068,2078,0
CLSTN1,1,CLSTN1,9789078,9884550,14,2079,2092,0
CTNNBIP1,1,CTNNBIP1,9908333,9970316,6,2101,2106,0
LZIC,1,LZIC,9989775,10002826,2,2112,2113,0
NMNAT1,1,NMNAT1,10003485,10045556,2,2116,2117,0
RBP7,1,RBP7,10057273,10076078,2,2119,2120,0
UBE4B,1,UBE4B,10093015,10241296,19,2123,2141,0
KIF1B,1,KIF1B,10270763,10441661,26,2148,2173,0
PGD,1,PGD,10459084,10480201,4,2178,2181,0
APITD1,1,APITD1,10490158,10512210,6,2185,2190,0
PEX14,1,PEX14,10535002,10690818,29,2193,2221,0
CASZ1,1,CASZ1,10696665,10856707,56,2223,2278,0
C1orf127,1,C1orf127,11006532,11024258,9,2336,2344,0
TARDBP,1,TARDBP,11072678,11085549,3,2359,2361,0
MASP2,1,MASP2,11086579,11107285,8,2362,2369,0
EXOSC10,1,EXOSC10,11126675,11159938,3,2371,2373,0
FRAP1,1,FRAP1,11166591,11322564,12,2376,2387,0
PTCHD2,1,PTCHD2,11539294,11597640,14,2430,2443,0
FBXO2,1,FBXO2,11708447,11714739,4,2479,2482,0
FBXO44,1,FBXO44,11714431,11723384,3,2483,2485,0
FBXO6,1,FBXO6,11724180,11734409,2,2486,2487,0
MAD2L2,1,MAD2L2,11734536,11751678,7,2488,2494,0
C1orf187,1,C1orf187,11751780,11780336,11,2495,2505,0
AGTRAP,1,AGTRAP,11796141,11810828,7,2510,2516,0
MTHFR,1,MTHFR,11845786,11866115,10,2528,2537,0
CLCN6,1,CLCN6,11866206,11903201,8,2538,2545,0
NPPA,1,NPPA,11905775,11907835,2,2547,2548,0
PLOD1,1,PLOD1,11994745,12035594,5,2564,2568,0
MFN2,1,MFN2,12040237,12073572,3,2570,2572,0
IIP45,1,IIP45,12079511,12092106,5,2573,2577,0
TNFRSF8,1,TNFRSF8,12123433,12204264,24,2584,2607,0
TNFRSF1B,1,TNFRSF1B,12227059,12269277,16,2615,2630,0
VPS13D,1,VPS13D,12290112,12572098,39,2635,2673,0
DHRS3,1,DHRS3,12627938,12677820,21,2692,2712,0
AADACL4,1,AADACL4,12704565,12727097,3,2724,2726,0
AADACL3,1,AADACL3,12776117,12788726,5,2738,2742,0
PRAMEF12,1,PRAMEF12,12834983,12838048,2,2751,2752,0
PDPN,1,PDPN,13910251,13944452,17,2823,2839,0
PRDM2,1,PRDM2,14031349,14151575,40,2857,2896,0
KIAA1026,1,KIAA1026,14925212,15444544,197,3103,3299,0
TMEM51,1,TMEM51,15480228,15546872,16,3308,3323,0
FHAD1,1,FHAD1,15573767,15724622,44,3334,3377,0
EFHD2,1,EFHD2,15736440,15756835,12,3379,3390,0
CTRC,1,CTRC,15764937,15773153,4,3395,3398,0
ELA2A,1,ELA2A,15783223,15798582,6,3400,3405,0
ELA2B,1,ELA2B,15802595,15817895,4,3408,3411,0
CASP9,1,CASP9,15818794,15850790,6,3412,3417,0
